,tokenized_sentence,VADER_sentiment,RoBERTa-Twitter_sentiment,manual_label
591,the beyond update brought a lot of bugs but even with those this game is a triumph,Positive,Positive,Positive
108,no mans sky is beautiful peaceful and absorbing,Positive,Positive,Positive
630,they still do have bugs and some times low fps in worlds with a lot going on but they have a lot now in game for its price and is what everyone wanted in the start just lack of online game play,Negative,Negative,Neutral
477,the grinding which makes up most of the game is not only boring but frustrating due to the completely messed up inventory management,Negative,Negative,Negative
246,terrible,Negative,Negative,Negative
350,i avoided fighting starships until i got the best purple exotics in my hold and am constantly scanned and attacked for them,Negative,Negative,Negative
117,animal variation is better than vegetation slightly,Positive,Positive,Neutral
679,but there are tons of bugs appeared also,Neutral,Negative,Negative
192,terrible,Negative,Negative,Negative
73,pros quite a bit of variety in creatures planets ships environments etc,Neutral,Neutral,Positive
363,also i was a tiny bit annoyed that you have to figure out everything by yourself but i guess thats part of the experience,Negative,Negative,Negative
556,there are no tall trees like were shows in e3 theyre all saplings,Positive,Negative,Negative
451,this is true of plants animals minerals buildings caves oceans freighters frigates space stations and i kind of hate to say this because its clear that making any kind of procedural variation is an immense amount of work and this type of creation is still pretty new,Positive,Negative,Negative
78,all of the monoliths are the same its nothing but a chore to chase them down,Neutral,Negative,Negative
214,terrible,Negative,Negative,Negative
93,playing this on 2020 and still it doesnt feel like a 2016 game the gameplay and the graphics are great and the grind might be overwhelming for some but the satisfaction of achieving and exploration beats it,Positive,Positive,Positive
703,stuttering lagging inprecice controls and such just from a technical difficulty,Negative,Negative,Negative
590,static audio bad fps and i run a high end system,Negative,Negative,Negative
335,props to hello games for attempting something so massive and complex and they have my full support especially in the face of so much criticism from haters who need a linear storyline and constant ordersobjectives to enjoy a game,Negative,Positive,Positive
247,terrible,Negative,Negative,Negative
